"affiliator","affiliatee"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xdca3cb76811bfeb00e1d763a7fc2d4ce51db2b19f8f6386581441bbf0eff1f75"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xca179bd48e2c4af5cd23d75ea8a2d34022f0ceb1e1ed3157ec80807049d7fa11"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x1a9a5ab2054635094c8e511659e1883ecd25d7b99f5427e80768bf02c2b9537d"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x0cf7bc4747108139850fc93990e3784a6838adc3d0b4965ab41f98460b87ce22"
"0x0e8bdcb5e573b9bb11b9f3a54b754d3b8f4181dec8cba010bb42c0d1147fa51c","0x085881324dec2a9a4bbf4b81f5fa6e039a26144460a192f0edbc7ed5ad60a262"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xc489409719336a57b25e698539794140e6c9752ed1a38ff2de20037658b3eb32"
"0x68edbe1768dd93154d09e1512c8b2ec25c0bcfc09e2bca3117232333f43dbb78","0x680a005a7869ee87ac9f6c8710a2ffb8ec0177b0157630e6eb554eb112bcef02"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x5a9b7ef4e4a55a47557d561122784969d433c0de48a83c9ba111be75ca99aa36"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x00d24e76fdcb1cc57987640cde33c110028462b7e6eace5c9c646a52d5773f50"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xc64a0831256c1951b8fb91e72eeaced7bd33ee05e21952f6c4bfd162a8581648"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x305c115f5ffcfe9b56d57fdf61bde5b00ff760b5685c3c5da10c7ef330a08734"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x8c82a5b1db541f4a907bd3321f30060735a3e55e92823554ee0029664b46eb26"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x6a7f1175357ac09a598172d1f22c3ba42fa2fb19018dd03a752b2a3c5c33fb09"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xc82fd3b0588e6a3b963148344549e97821d644a7daa5361112a9c762da837e2a"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x2c5d4b082df6f6396149d500a21db2277a2d16baa66fccac18b2c7fe0c855937"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xd813d3549dbeabb1810779be58d1caa8a1fb3a69b92bb73b5d9d7aa2fc665074"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xeabb1dc9e3b9ec7448a0a6fb48cf1fb3e211d3a3e957c6c86ded76486fdff81f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xae31a9b07d244e7e3676a2706f15e7ec0b13fc4c7689eeae8382dd35da5d011f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xf08b2754fbd9692b4a61912065f52f356795bf46255844cac334a805a252c121"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x383b0f5af21f0c7ff64b88b462c5668a3d68640c663849100ffd14634f05e511"
